MAC,IP,First Seen,Last Seen
2c:ab:a4:1f:15:ad,192.168.0.1,2024-07-05 14:51:10.605180,2024-07-06 04:25:17.751041
98:de:d0:6c:42:c0,192.168.0.17,2024-07-05 14:51:10.605211,2024-07-06 04:25:17.751070
fa:54:17:ed:8f:4f,192.168.0.15,2024-07-05 14:51:10.605218,2024-07-05 16:36:43.388951
20:34:fb:a9:cd:59,192.168.0.12,2024-07-05 14:56:12.001209,2024-07-06 04:20:16.131107
56:d8:8f:61:a5:67,192.168.0.14,2024-07-05 17:56:35.634836,2024-07-06 04:25:17.751081
20:32:33:c6:f4:5f,192.168.0.16,2024-07-05 17:56:35.634844,2024-07-05 18:06:38.870553
66:96:f1:49:00:85,192.168.0.10,2024-07-05 23:23:21.547919,2024-07-06 04:25:17.751075
cc:9f:7a:b6:c9:93,192.168.0.11,2024-07-05 23:23:21.547927,2024-07-06 04:25:17.751086
50:5b:c2:0e:fa:be,192.168.0.13,2024-07-05 23:23:21.547933,2024-07-06 04:25:17.751091
